"filename", "language", "JSON", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\knexfile.js", "JavaScript", 0, -51, 0, -5, -4, -60
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\package-lock.json", "JSON", -6851, 0, 0, 0, -1, -6852
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\package.json", "JSON", -35, 0, 0, 0, -1, -36
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\app.js", "JavaScript", 0, -23, 0, -2, -12, -37
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\authentication\auth.middleware.js", "JavaScript", 0, -16, 0, 0, -5, -21
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\db\connection.js", "JavaScript", 0, -4, 0, 0, -2, -6
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\db\migrations\20250521235519_create_table_employees.js", "JavaScript", 0, -14, 0, -8, -2, -24
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\db\migrations\20250521235633_create_table_unit_conversions.js", "JavaScript", 0, -12, 0, -8, -2, -22
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\db\migrations\20250521235650_create_table_recipes.js", "JavaScript", 0, -11, 0, -8, -2, -21
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\db\migrations\20250521235710_create_table_ingredients.js", "JavaScript", 0, -11, 0, -8, -2, -21
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\db\migrations\20250521235726_create_table_recipe_ingredients.js", "JavaScript", 0, -22, 0, -8, -2, -32
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\db\migrations\20250521235739_create_table_bakes.js", "JavaScript", 0, -23, 0, -8, -2, -33
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\db\seeds\01_employees.js", "JavaScript", 0, -56, 0, -9, -3, -68
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\db\seeds\02_unit_conversions.js", "JavaScript", 0, -73, 0, -18, -11, -102
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\db\seeds\03_recipes.js", "JavaScript", 0, -81, 0, -9, -3, -93
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\db\seeds\04_ingredients.js", "JavaScript", 0, -51, 0, -9, -3, -63
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\db\seeds\05_recipe_ingredients.js", "JavaScript", 0, -107, 0, -19, -12, -138
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\backend\src\db\seeds\06_bakes.js", "JavaScript", 0, -132, 0, -12, -10, -154
