"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\App.js", "JavaScript", 36, 0, 4, 40
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\Home.js", "JavaScript", 129, 1, 4, 134
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\bakes\BakesList.js", "JavaScript", 7, 0, 0, 7
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\common\Alerts.js", "JavaScript", 26, 0, 4, 30
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\common\Header.js", "JavaScript", 10, 0, 0, 10
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\common\ScrollToTop.js", "JavaScript", 9, 1, 4, 14
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\common\UnitSelector.js", "JavaScript", 28, 0, 4, 32
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\common\page-toolbar\LoginButton.js", "JavaScript", 65, 0, 7, 72
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\common\page-toolbar\LoginModal.js", "JavaScript", 132, 5, 15, 152
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\common\page-toolbar\PageToolbar.js", "JavaScript", 72, 0, 6, 78
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\common\page-toolbar\RegisterModal.js", "JavaScript", 238, 7, 16, 261
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\common\page-toolbar\ToolbarDropdown.js", "JavaScript", 41, 0, 5, 46
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\ingredients\IngredientsCreate.js", "JavaScript", 7, 0, 0, 7
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\ingredients\IngredientsList.js", "JavaScript", 7, 0, 0, 7
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\recipes\AddIngredientForm.js", "JavaScript", 71, 2, 8, 81
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\recipes\IngredientSelector.js", "JavaScript", 29, 0, 3, 32
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\recipes\RecipeIngredientsList.js", "JavaScript", 20, 0, 4, 24
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\recipes\RecipeIngredientsListing.js", "JavaScript", 26, 2, 4, 32
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\recipes\RecipeView.js", "JavaScript", 105, 6, 8, 119
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\recipes\RecipesCreate.js", "JavaScript", 7, 0, 0, 7
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\recipes\RecipesList.js", "JavaScript", 21, 5, 7, 33
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\recipes\RecipesListing.js", "JavaScript", 9, 0, 2, 11
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\components\recipes\RecipesView.js", "JavaScript", 19, 1, 3, 23
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\context\AlertsContext.js", "JavaScript", 23, 1, 6, 30
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\context\AuthContext.js", "JavaScript", 61, 11, 12, 84
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\context\IngredientsContext.js", "JavaScript", 55, 0, 14, 69
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\context\RecipesContext.js", "JavaScript", 177, 2, 29, 208
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\context\UnitsContext.js", "JavaScript", 57, 1, 15, 73
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\index.js", "JavaScript", 27, 0, 3, 30
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\utils\convertUnits.js", "JavaScript", 11, 0, 4, 15
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\utils\getIngredientShortages.js", "JavaScript", 23, 0, 7, 30
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\utils\handleInputChange.js", "JavaScript", 7, 0, 1, 8
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\utils\loginWithToken.js", "JavaScript", 26, 7, 6, 39
"c:\Users\jondm\OneDrive\Desktop\Projects\capstone-bakery-inventory-manager\frontend\src\utils\modalCloser.js", "JavaScript", 5, 3, 2, 10
"Total", "-", 1586, 55, 207, 1848
